screen_id,campaign_id,date,booked_impressions,delivered_impressions
SCR_041,CAMP_A,2024-01-01,4000,4004
SCR_008,CAMP_A,2024-01-01,6000,5919
SCR_002,CAMP_A,2024-01-01,3000,2792
SCR_018,CAMP_A,2024-01-01,6000,5581
SCR_016,CAMP_A,2024-01-01,5000,5565
SCR_015,CAMP_A,2024-01-01,5000,4942
SCR_009,CAMP_A,2024-01-01,3000,2939
SCR_007,CAMP_A,2024-01-01,6000,3668
SCR_035,CAMP_A,2024-01-01,5000,5007
SCR_006,CAMP_A,2024-01-01,3000,3031
SCR_038,CAMP_A,2024-01-01,3000,3067
SCR_028,CAMP_A,2024-01-01,6000,5955
SCR_003,CAMP_A,2024-01-01,5000,4780
SCR_048,CAMP_A,2024-01-01,5000,4994
SCR_050,CAMP_A,2024-01-01,3000,2796
SCR_014,CAMP_A,2024-01-01,4000,3837
SCR_045,CAMP_A,2024-01-01,4000,4078
SCR_033,CAMP_A,2024-01-01,3000,2742
SCR_037,CAMP_A,2024-01-01,5000,4593
SCR_047,CAMP_A,2024-01-01,5000,4874
SCR_042,CAMP_B,2024-01-01,3000,2789
SCR_030,CAMP_B,2024-01-01,4000,3859
SCR_010,CAMP_B,2024-01-01,3000,2962
SCR_017,CAMP_B,2024-01-01,6000,6217
SCR_009,CAMP_B,2024-01-01,3000,2774
SCR_016,CAMP_B,2024-01-01,5000,4771
SCR_036,CAMP_B,2024-01-01,5000,4844
SCR_035,CAMP_B,2024-01-01,5000,5045
SCR_047,CAMP_B,2024-01-01,3000,2846
SCR_038,CAMP_B,2024-01-01,4000,4036
SCR_028,CAMP_B,2024-01-01,3000,2920
SCR_041,CAMP_B,2024-01-01,3000,3072
SCR_026,CAMP_B,2024-01-01,5000,4706
SCR_024,CAMP_B,2024-01-01,3000,3384
SCR_015,CAMP_B,2024-01-01,3000,2937
SCR_046,CAMP_B,2024-01-01,4000,3887
SCR_033,CAMP_B,2024-01-01,4000,4093
SCR_032,CAMP_B,2024-01-01,6000,6184
SCR_006,CAMP_B,2024-01-01,4000,3847
SCR_025,CAMP_B,2024-01-01,5000,4886
SCR_008,CAMP_C,2024-01-01,4000,3892
SCR_016,CAMP_C,2024-01-01,4000,4098
SCR_015,CAMP_C,2024-01-01,6000,5828
SCR_005,CAMP_C,2024-01-01,6000,5535
SCR_022,CAMP_C,2024-01-01,6000,5780
SCR_002,CAMP_C,2024-01-01,3000,3113
SCR_038,CAMP_C,2024-01-01,3000,2330
SCR_036,CAMP_C,2024-01-01,3000,2804
SCR_048,CAMP_C,2024-01-01,6000,5603
SCR_044,CAMP_C,2024-01-01,6000,6180
SCR_042,CAMP_C,2024-01-01,6000,6127
SCR_001,CAMP_C,2024-01-01,3000,2639
SCR_047,CAMP_C,2024-01-01,3000,3091
SCR_004,CAMP_C,2024-01-01,4000,3892
SCR_040,CAMP_C,2024-01-01,4000,4109
SCR_041,CAMP_C,2024-01-01,4000,4152
SCR_003,CAMP_C,2024-01-01,5000,5060
SCR_046,CAMP_C,2024-01-01,5000,5172
SCR_035,CAMP_C,2024-01-01,6000,5691
SCR_017,CAMP_C,2024-01-01,3000,2941
SCR_048,CAMP_D,2024-01-01,3000,2893
SCR_021,CAMP_D,2024-01-01,5000,4682
SCR_004,CAMP_D,2024-01-01,5000,4807
SCR_050,CAMP_D,2024-01-01,5000,5153
SCR_038,CAMP_D,2024-01-01,3000,2208
SCR_031,CAMP_D,2024-01-01,3000,1742
SCR_033,CAMP_D,2024-01-01,5000,4776
SCR_034,CAMP_D,2024-01-01,3000,2874
SCR_011,CAMP_D,2024-01-01,4000,3922
SCR_047,CAMP_D,2024-01-01,5000,5191
SCR_044,CAMP_D,2024-01-01,3000,2946
SCR_006,CAMP_D,2024-01-01,3000,2782
SCR_012,CAMP_D,2024-01-01,3000,3019
SCR_005,CAMP_D,2024-01-01,4000,3954
SCR_037,CAMP_D,2024-01-01,5000,4962
SCR_016,CAMP_D,2024-01-01,5000,4713
SCR_026,CAMP_D,2024-01-01,3000,3357
SCR_008,CAMP_D,2024-01-01,5000,3133
SCR_035,CAMP_D,2024-01-01,4000,3776
SCR_019,CAMP_D,2024-01-01,6000,5793
SCR_001,CAMP_E,2024-01-01,4000,3823
SCR_008,CAMP_E,2024-01-01,6000,6044
SCR_005,CAMP_E,2024-01-01,4000,4147
SCR_045,CAMP_E,2024-01-01,4000,3652
SCR_010,CAMP_E,2024-01-01,5000,4817
SCR_035,CAMP_E,2024-01-01,4000,4049
SCR_003,CAMP_E,2024-01-01,3000,2745
SCR_024,CAMP_E,2024-01-01,6000,6096
SCR_038,CAMP_E,2024-01-01,6000,6100
SCR_036,CAMP_E,2024-01-01,4000,3983
SCR_046,CAMP_E,2024-01-01,6000,6134
SCR_028,CAMP_E,2024-01-01,5000,4881
