screen_id,campaign_id,date,booked_impressions,delivered_impressions,delivery_rate,status,impression_diff
SCR_041,CAMP_A,2024-01-01,4000,4004,1.001,ON TRACK,4
SCR_008,CAMP_A,2024-01-01,6000,5919,0.9865,ON TRACK,-81
SCR_002,CAMP_A,2024-01-01,3000,2792,0.9306666666666666,ON TRACK,-208
SCR_018,CAMP_A,2024-01-01,6000,5581,0.9301666666666667,ON TRACK,-419
SCR_016,CAMP_A,2024-01-01,5000,5565,1.113,OVER-DELIVERY,565
SCR_015,CAMP_A,2024-01-01,5000,4942,0.9884,ON TRACK,-58
SCR_009,CAMP_A,2024-01-01,3000,2939,0.9796666666666667,ON TRACK,-61
SCR_007,CAMP_A,2024-01-01,6000,3668,0.6113333333333333,UNDER-DELIVERY,-2332
SCR_035,CAMP_A,2024-01-01,5000,5007,1.0014,ON TRACK,7
SCR_006,CAMP_A,2024-01-01,3000,3031,1.0103333333333333,ON TRACK,31
SCR_038,CAMP_A,2024-01-01,3000,3067,1.0223333333333333,ON TRACK,67
SCR_028,CAMP_A,2024-01-01,6000,5955,0.9925,ON TRACK,-45
SCR_003,CAMP_A,2024-01-01,5000,4780,0.956,ON TRACK,-220
SCR_048,CAMP_A,2024-01-01,5000,4994,0.9988,ON TRACK,-6
SCR_050,CAMP_A,2024-01-01,3000,2796,0.932,ON TRACK,-204
SCR_014,CAMP_A,2024-01-01,4000,3837,0.95925,ON TRACK,-163
SCR_045,CAMP_A,2024-01-01,4000,4078,1.0195,ON TRACK,78
SCR_033,CAMP_A,2024-01-01,3000,2742,0.914,ON TRACK,-258
SCR_037,CAMP_A,2024-01-01,5000,4593,0.9186,ON TRACK,-407
SCR_047,CAMP_A,2024-01-01,5000,4874,0.9748,ON TRACK,-126
SCR_042,CAMP_B,2024-01-01,3000,2789,0.9296666666666666,ON TRACK,-211
SCR_030,CAMP_B,2024-01-01,4000,3859,0.96475,ON TRACK,-141
SCR_010,CAMP_B,2024-01-01,3000,2962,0.9873333333333333,ON TRACK,-38
SCR_017,CAMP_B,2024-01-01,6000,6217,1.0361666666666667,ON TRACK,217
SCR_009,CAMP_B,2024-01-01,3000,2774,0.9246666666666666,ON TRACK,-226
SCR_016,CAMP_B,2024-01-01,5000,4771,0.9542,ON TRACK,-229
SCR_036,CAMP_B,2024-01-01,5000,4844,0.9688,ON TRACK,-156
SCR_035,CAMP_B,2024-01-01,5000,5045,1.009,ON TRACK,45
SCR_047,CAMP_B,2024-01-01,3000,2846,0.9486666666666667,ON TRACK,-154
SCR_038,CAMP_B,2024-01-01,4000,4036,1.009,ON TRACK,36
SCR_028,CAMP_B,2024-01-01,3000,2920,0.9733333333333334,ON TRACK,-80
SCR_041,CAMP_B,2024-01-01,3000,3072,1.024,ON TRACK,72
SCR_026,CAMP_B,2024-01-01,5000,4706,0.9412,ON TRACK,-294
SCR_024,CAMP_B,2024-01-01,3000,3384,1.128,OVER-DELIVERY,384
SCR_015,CAMP_B,2024-01-01,3000,2937,0.979,ON TRACK,-63
SCR_046,CAMP_B,2024-01-01,4000,3887,0.97175,ON TRACK,-113
SCR_033,CAMP_B,2024-01-01,4000,4093,1.02325,ON TRACK,93
SCR_032,CAMP_B,2024-01-01,6000,6184,1.0306666666666666,ON TRACK,184
SCR_006,CAMP_B,2024-01-01,4000,3847,0.96175,ON TRACK,-153
SCR_025,CAMP_B,2024-01-01,5000,4886,0.9772,ON TRACK,-114
SCR_008,CAMP_C,2024-01-01,4000,3892,0.973,ON TRACK,-108
SCR_016,CAMP_C,2024-01-01,4000,4098,1.0245,ON TRACK,98
SCR_015,CAMP_C,2024-01-01,6000,5828,0.9713333333333334,ON TRACK,-172
SCR_005,CAMP_C,2024-01-01,6000,5535,0.9225,ON TRACK,-465
SCR_022,CAMP_C,2024-01-01,6000,5780,0.9633333333333334,ON TRACK,-220
SCR_002,CAMP_C,2024-01-01,3000,3113,1.0376666666666667,ON TRACK,113
SCR_038,CAMP_C,2024-01-01,3000,2330,0.7766666666666666,UNDER-DELIVERY,-670
SCR_036,CAMP_C,2024-01-01,3000,2804,0.9346666666666666,ON TRACK,-196
SCR_048,CAMP_C,2024-01-01,6000,5603,0.9338333333333333,ON TRACK,-397
SCR_044,CAMP_C,2024-01-01,6000,6180,1.03,ON TRACK,180
SCR_042,CAMP_C,2024-01-01,6000,6127,1.0211666666666666,ON TRACK,127
SCR_001,CAMP_C,2024-01-01,3000,2639,0.8796666666666667,UNDER-DELIVERY,-361
SCR_047,CAMP_C,2024-01-01,3000,3091,1.0303333333333333,ON TRACK,91
SCR_004,CAMP_C,2024-01-01,4000,3892,0.973,ON TRACK,-108
SCR_040,CAMP_C,2024-01-01,4000,4109,1.02725,ON TRACK,109
SCR_041,CAMP_C,2024-01-01,4000,4152,1.038,ON TRACK,152
SCR_003,CAMP_C,2024-01-01,5000,5060,1.012,ON TRACK,60
